experiment_id,repetition,num_boids,num_preds,matching_factor,avoid_factor,centering_factor,seed,fish_eaten,fish_remaining
6,19,50,1,0.4,0.07,0.0005,62,32,18
6,20,50,1,0.4,0.07,0.0005,62,33,17
7,1,50,1,0.5,0.07,0.0005,62,34,16
7,2,50,1,0.5,0.07,0.0005,62,31,19
7,3,50,1,0.5,0.07,0.0005,62,32,18
7,4,50,1,0.5,0.07,0.0005,62,32,18
7,5,50,1,0.5,0.07,0.0005,62,36,14
7,6,50,1,0.5,0.07,0.0005,62,30,20
7,7,50,1,0.5,0.07,0.0005,62,30,20
7,8,50,1,0.5,0.07,0.0005,62,30,20
7,9,50,1,0.5,0.07,0.0005,62,31,19
7,10,50,1,0.5,0.07,0.0005,62,33,17
7,11,50,1,0.5,0.07,0.0005,62,30,20
7,12,50,1,0.5,0.07,0.0005,62,31,19
7,13,50,1,0.5,0.07,0.0005,62,30,20
7,14,50,1,0.5,0.07,0.0005,62,32,18
7,15,50,1,0.5,0.07,0.0005,62,33,17
7,16,50,1,0.5,0.07,0.0005,62,34,16
7,17,50,1,0.5,0.07,0.0005,62,31,19
7,18,50,1,0.5,0.07,0.0005,62,35,15
7,19,50,1,0.5,0.07,0.0005,62,30,20
7,20,50,1,0.5,0.07,0.0005,62,35,15
8,1,50,1,0.6,0.07,0.0005,62,33,17
8,2,50,1,0.6,0.07,0.0005,62,35,15
8,3,50,1,0.6,0.07,0.0005,62,32,18
8,4,50,1,0.6,0.07,0.0005,62,35,15
8,5,50,1,0.6,0.07,0.0005,62,31,19
8,6,50,1,0.6,0.07,0.0005,62,33,17
8,7,50,1,0.6,0.07,0.0005,62,34,16
8,8,50,1,0.6,0.07,0.0005,62,33,17
8,9,50,1,0.6,0.07,0.0005,62,36,14
8,10,50,1,0.6,0.07,0.0005,62,32,18
8,11,50,1,0.6,0.07,0.0005,62,32,18
8,12,50,1,0.6,0.07,0.0005,62,33,17
8,13,50,1,0.6,0.07,0.0005,62,35,15
8,14,50,1,0.6,0.07,0.0005,62,32,18
8,15,50,1,0.6,0.07,0.0005,62,34,16
8,16,50,1,0.6,0.07,0.0005,62,34,16
8,17,50,1,0.6,0.07,0.0005,62,28,22
8,18,50,1,0.6,0.07,0.0005,62,35,15
8,19,50,1,0.6,0.07,0.0005,62,32,18
8,20,50,1,0.6,0.07,0.0005,62,29,21
