experiment_id,num_boids,num_preds,matching_factor,seed,frame,time_seconds,fish_eaten,fish_remaining
2,50,1,0.05,42,4600,76.66666666666667,29,21
2,50,1,0.05,42,4700,78.33333333333333,29,21
2,50,1,0.05,42,4800,80.0,30,20
2,50,1,0.05,42,4900,81.66666666666667,31,19
2,50,1,0.05,42,5000,83.33333333333333,31,19
2,50,1,0.05,42,5100,85.0,32,18
2,50,1,0.05,42,5200,86.66666666666667,33,17
2,50,1,0.05,42,5300,88.33333333333333,33,17
2,50,1,0.05,42,5400,90.0,34,16
2,50,1,0.05,42,5500,91.66666666666667,34,16
2,50,1,0.05,42,5600,93.33333333333333,35,15
2,50,1,0.05,42,5700,95.0,35,15
2,50,1,0.05,42,5800,96.66666666666667,36,14
2,50,1,0.05,42,5900,98.33333333333333,36,14
3,50,1,0.1,42,0,0.0,0,50
3,50,1,0.1,42,100,1.6666666666666667,1,49
3,50,1,0.1,42,200,3.3333333333333335,2,48
3,50,1,0.1,42,300,5.0,3,47
3,50,1,0.1,42,400,6.666666666666667,4,46
3,50,1,0.1,42,500,8.333333333333334,4,46
3,50,1,0.1,42,600,10.0,6,44
3,50,1,0.1,42,700,11.666666666666666,6,44
3,50,1,0.1,42,800,13.333333333333334,7,43
3,50,1,0.1,42,900,15.0,8,42
3,50,1,0.1,42,1000,16.666666666666668,8,42
3,50,1,0.1,42,1100,18.333333333333332,8,42
3,50,1,0.1,42,1200,20.0,9,41
3,50,1,0.1,42,1300,21.666666666666668,10,40
3,50,1,0.1,42,1400,23.333333333333332,10,40
3,50,1,0.1,42,1500,25.0,11,39
3,50,1,0.1,42,1600,26.666666666666668,11,39
3,50,1,0.1,42,1700,28.333333333333332,11,39
3,50,1,0.1,42,1800,30.0,12,38
3,50,1,0.1,42,1900,31.666666666666668,12,38
3,50,1,0.1,42,2000,33.333333333333336,13,37
3,50,1,0.1,42,2100,35.0,14,36
3,50,1,0.1,42,2200,36.666666666666664,14,36
3,50,1,0.1,42,2300,38.333333333333336,15,35
3,50,1,0.1,42,2400,40.0,15,35
3,50,1,0.1,42,2500,41.666666666666664,16,34
3,50,1,0.1,42,2600,43.333333333333336,17,33
3,50,1,0.1,42,2700,45.0,17,33
3,50,1,0.1,42,2800,46.666666666666664,18,32
3,50,1,0.1,42,2900,48.333333333333336,18,32
3,50,1,0.1,42,3000,50.0,19,31
3,50,1,0.1,42,3100,51.666666666666664,19,31
3,50,1,0.1,42,3200,53.333333333333336,20,30
3,50,1,0.1,42,3300,55.0,20,30
3,50,1,0.1,42,3400,56.666666666666664,20,30
3,50,1,0.1,42,3500,58.333333333333336,21,29
3,50,1,0.1,42,3600,60.0,23,27
3,50,1,0.1,42,3700,61.666666666666664,23,27
3,50,1,0.1,42,3800,63.333333333333336,24,26
3,50,1,0.1,42,3900,65.0,24,26
3,50,1,0.1,42,4000,66.66666666666667,24,26
3,50,1,0.1,42,4100,68.33333333333333,25,25
3,50,1,0.1,42,4200,70.0,25,25
3,50,1,0.1,42,4300,71.66666666666667,26,24
3,50,1,0.1,42,4400,73.33333333333333,26,24
3,50,1,0.1,42,4500,75.0,27,23
3,50,1,0.1,42,4600,76.66666666666667,28,22
3,50,1,0.1,42,4700,78.33333333333333,28,22
3,50,1,0.1,42,4800,80.0,30,20
3,50,1,0.1,42,4900,81.66666666666667,31,19
3,50,1,0.1,42,5000,83.33333333333333,32,18
3,50,1,0.1,42,5100,85.0,33,17
3,50,1,0.1,42,5200,86.66666666666667,33,17
3,50,1,0.1,42,5300,88.33333333333333,34,16
3,50,1,0.1,42,5400,90.0,34,16
3,50,1,0.1,42,5500,91.66666666666667,35,15
3,50,1,0.1,42,5600,93.33333333333333,36,14
3,50,1,0.1,42,5700,95.0,36,14
3,50,1,0.1,42,5800,96.66666666666667,37,13
3,50,1,0.1,42,5900,98.33333333333333,37,13
4,50,1,0.2,42,0,0.0,0,50
4,50,1,0.2,42,100,1.6666666666666667,1,49
4,50,1,0.2,42,200,3.3333333333333335,1,49
4,50,1,0.2,42,300,5.0,1,49
4,50,1,0.2,42,400,6.666666666666667,2,48
4,50,1,0.2,42,500,8.333333333333334,2,48
4,50,1,0.2,42,600,10.0,3,47
4,50,1,0.2,42,700,11.666666666666666,4,46
4,50,1,0.2,42,800,13.333333333333334,4,46
4,50,1,0.2,42,900,15.0,4,46
4,50,1,0.2,42,1000,16.666666666666668,4,46
4,50,1,0.2,42,1100,18.333333333333332,5,45
4,50,1,0.2,42,1200,20.0,5,45
4,50,1,0.2,42,1300,21.666666666666668,6,44
4,50,1,0.2,42,1400,23.333333333333332,7,43
4,50,1,0.2,42,1500,25.0,8,42
4,50,1,0.2,42,1600,26.666666666666668,8,42
4,50,1,0.2,42,1700,28.333333333333332,8,42
4,50,1,0.2,42,1800,30.0,9,41
4,50,1,0.2,42,1900,31.666666666666668,9,41
4,50,1,0.2,42,2000,33.333333333333336,10,40
4,50,1,0.2,42,2100,35.0,10,40
4,50,1,0.2,42,2200,36.666666666666664,11,39
4,50,1,0.2,42,2300,38.333333333333336,11,39
4,50,1,0.2,42,2400,40.0,12,38
4,50,1,0.2,42,2500,41.666666666666664,12,38
4,50,1,0.2,42,2600,43.333333333333336,12,38
4,50,1,0.2,42,2700,45.0,13,37
4,50,1,0.2,42,2800,46.666666666666664,13,37
4,50,1,0.2,42,2900,48.333333333333336,14,36
4,50,1,0.2,42,3000,50.0,14,36
4,50,1,0.2,42,3100,51.666666666666664,14,36
4,50,1,0.2,42,3200,53.333333333333336,15,35
4,50,1,0.2,42,3300,55.0,15,35
4,50,1,0.2,42,3400,56.666666666666664,16,34
4,50,1,0.2,42,3500,58.333333333333336,16,34
4,50,1,0.2,42,3600,60.0,17,33
4,50,1,0.2,42,3700,61.666666666666664,17,33
4,50,1,0.2,42,3800,63.333333333333336,18,32
4,50,1,0.2,42,3900,65.0,19,31
4,50,1,0.2,42,4000,66.66666666666667,19,31
4,50,1,0.2,42,4100,68.33333333333333,20,30
4,50,1,0.2,42,4200,70.0,21,29
4,50,1,0.2,42,4300,71.66666666666667,21,29
4,50,1,0.2,42,4400,73.33333333333333,21,29
4,50,1,0.2,42,4500,75.0,21,29
4,50,1,0.2,42,4600,76.66666666666667,22,28
4,50,1,0.2,42,4700,78.33333333333333,23,27
4,50,1,0.2,42,4800,80.0,23,27
4,50,1,0.2,42,4900,81.66666666666667,24,26
4,50,1,0.2,42,5000,83.33333333333333,25,25
4,50,1,0.2,42,5100,85.0,26,24
4,50,1,0.2,42,5200,86.66666666666667,26,24
4,50,1,0.2,42,5300,88.33333333333333,27,23
4,50,1,0.2,42,5400,90.0,27,23
4,50,1,0.2,42,5500,91.66666666666667,27,23
4,50,1,0.2,42,5600,93.33333333333333,27,23
4,50,1,0.2,42,5700,95.0,28,22
4,50,1,0.2,42,5800,96.66666666666667,28,22
4,50,1,0.2,42,5900,98.33333333333333,29,21
